race,age,engnat,gender,hand,source,country,E,N,A,C,O,maximum,personality_type
13,23,2,1,1,1,IN,3.2,2.7,3.6,3.1,3.1,3.6,A
13,14,1,1,1,1,US,3.3,3.1,2.8,3.2,3.6,3.6,O
4,18,1,1,1,1,IN,3.7,4.1,3.2,2.9,3.2,4.1,N
1,18,1,2,1,1,US,3.5,2.3,3.8,2.6,3.2,3.8,A
5,16,2,1,1,1,KW,2.9,3.5,2.9,2.7,3.5,3.5,N
0,23,1,2,1,1,OM,2.9,2.7,3.7,3.9,2.8,3.9,C
4,22,2,2,1,1,IN,3.3,2.7,3.8,3.4,3.0,3.8,A
11,19,1,1,1,1,US,3.1,2.2,3.3,3.0,3.6,3.6,O
13,21,2,1,1,1,US,2.9,3.3,3.0,3.5,3.6,3.6,O
11,19,2,1,1,1,MY,3.0,3.5,3.0,3.4,3.1,3.5,N
10,14,1,1,2,1,AU,3.5,4.0,4.1,3.2,3.3,4.1,A
3,39,1,2,2,1,AU,3.1,3.9,3.6,3.3,3.4,3.9,N
3,26,2,1,1,5,DK,2.9,1.8,3.5,3.1,3.6,3.6,O
3,48,1,1,1,1,GB,3.3,2.0,3.0,2.9,3.9,3.9,O
3,33,1,2,1,5,NZ,2.8,3.5,2.7,3.2,3.4,3.5,N
7,20,0,1,1,5,ID,3.5,2.9,3.5,3.3,3.2,3.5,E
3,22,2,2,2,3,DK,3.0,2.9,3.4,3.7,3.9,3.9,O
13,21,2,1,1,1,TR,3.0,2.8,2.0,3.0,2.8,3.0,E
3,29,1,2,1,5,GB,3.1,3.3,2.8,4.0,2.9,4.0,C
3,43,1,1,1,1,AU,3.2,3.0,3.0,3.2,3.3,3.3,O
11,13,1,2,3,1,SG,2.9,3.6,3.2,3.1,3.7,3.7,O
4,22,2,1,1,2,IN,3.3,3.3,3.8,2.9,3.4,3.8,A
13,23,1,2,1,2,GB,3.1,3.8,3.7,3.3,2.7,3.8,N
3,24,2,1,1,1,LT,3.2,3.3,3.0,3.5,2.8,3.5,C
3,39,2,1,2,5,GB,2.5,3.9,2.9,3.5,3.7,3.9,N
3,29,1,2,1,5,AU,2.7,2.5,3.5,3.1,3.9,3.9,O
3,39,1,1,1,1,IE,3.1,2.5,3.1,2.7,3.4,3.4,O
11,26,2,2,1,1,US,2.8,3.7,3.3,2.6,3.0,3.7,N
13,17,1,2,1,1,GB,2.6,4.3,3.4,3.2,4.0,4.3,N
3,18,1,2,1,1,AU,3.4,3.5,3.0,3.0,3.1,3.5,N
5,17,2,2,1,5,IL,3.0,2.9,3.5,3.0,3.3,3.5,A
1,26,2,2,1,1,IN,3.2,2.9,3.4,3.1,3.2,3.4,A
3,17,1,1,2,1,GB,3.2,3.6,3.3,3.0,3.1,3.6,N
3,16,1,2,1,2,GB,2.7,3.0,3.0,3.5,2.7,3.5,C
3,17,1,2,1,1,GB,3.4,3.1,3.4,3.4,3.5,3.5,O
3,35,2,1,1,1,PL,3.1,2.5,3.1,3.6,3.5,3.6,C
1,39,1,2,1,1,DE,2.7,3.4,3.3,3.8,3.2,3.8,C
3,18,1,2,1,5,GB,2.7,3.1,3.1,2.9,3.2,3.2,O
11,29,1,2,1,5,MY,3.0,3.3,3.0,2.9,2.9,3.3,N
11,15,2,2,1,1,ID,2.6,4.0,3.3,3.1,3.6,4.0,N
13,15,2,1,1,1,IN,3.2,3.8,3.1,2.7,3.8,3.8,N
4,16,2,1,1,1,AE,3.5,4.5,4.2,4.5,2.8,4.5,N
3,20,2,2,1,1,LT,3.0,3.0,3.4,3.1,3.5,3.5,O
4,19,2,1,1,1,PK,2.8,3.3,2.4,2.9,2.2,3.3,N
3,42,1,2,2,1,GB,2.6,4.0,3.3,2.7,3.3,4.0,N
1,19,2,1,1,2,MY,3.1,3.4,3.4,3.3,3.3,3.4,N
9,18,2,2,1,2,BT,3.2,3.9,2.9,3.4,3.7,3.9,N
11,17,2,1,1,2,ID,3.0,2.6,3.0,3.2,3.1,3.2,C
3,15,2,2,2,1,DE,2.8,3.9,2.8,3.2,3.3,3.9,N
3,42,2,2,1,1,DK,3.2,1.9,3.2,2.8,3.5,3.5,O
3,25,1,2,1,1,US,2.7,3.8,3.7,3.3,3.3,3.8,N
1,15,1,1,1,5,CA,3.3,3.6,3.2,2.7,3.3,3.6,N
4,17,2,2,1,1,IN,3.9,4.4,3.6,4.3,3.8,4.4,N
4,16,2,2,1,1,IN,3.0,4.3,3.9,2.4,3.9,4.3,N
1,26,2,1,2,1,AR,2.4,3.1,2.5,3.2,3.3,3.3,O
3,19,2,3,1,5,RO,3.0,3.0,3.2,2.4,3.1,3.2,A
3,37,2,2,1,1,RS,2.7,3.0,2.7,3.0,3.4,3.4,O
4,24,2,1,1,1,IN,3.2,3.5,3.4,3.3,2.6,3.5,N
11,19,2,2,1,5,PH,3.4,2.4,3.6,2.5,3.4,3.6,A
1,36,1,1,1,1,US,3.0,2.3,3.4,2.8,3.5,3.5,O
4,16,2,1,1,1,IN,3.6,3.5,3.7,3.2,3.0,3.7,A
4,24,2,1,1,1,IN,3.6,2.9,3.2,2.8,3.1,3.6,E
12,26,1,2,1,1,GH,3.1,2.9,2.9,3.4,3.0,3.4,C
11,20,1,1,1,1,PH,3.4,3.5,3.6,4.4,4.2,4.4,C
3,38,2,2,1,1,NL,2.1,3.9,2.8,2.7,3.0,3.9,N
6,15,1,2,2,1,US,2.8,2.9,2.7,3.4,3.6,3.6,O
3,17,2,2,1,1,DK,2.8,3.1,2.9,3.5,3.2,3.5,C
